,index,Sold Date,Property Type,Zipcode,Price,Beds,Baths,SQFT,Lot Size,Year Built,Price per SQFT,HOA,Latitude,Longitude,Mobile/Manufactured Home,Multi-Family (2-4 Unit),Multi-Family (5+ Unit),Single Family Residential,Townhouse
106,108,2019-12-20,Condo/Co-op,95128,568888.0,2.0,2.0,922.0,1099.0,1988.0,617.0151843817788,493.0,37.311559,-121.938906,0,0,0,0,0
107,109,2019-12-12,Single Family Residential,95050,1430000.0,3.0,3.0,2520.0,7645.0,1948.0,567.4603174603175,0.0,37.3382864,-121.935245,0,0,0,1,0
108,110,2020-11-18,Single Family Residential,95148,1395000.0,4.0,3.0,2021.0,6030.0,1984.0,690.252350321623,0.0,37.3240862,-121.7832737,0,0,0,1,0
109,111,2020-12-02,Townhouse,95112,800000.0,2.0,2.5,1241.0,1168.0,2014.0,644.64141821112,244.0,37.3554893,-121.8918257,0,0,0,0,1
110,112,2020-12-28,Single Family Residential,95116,677000.0,2.0,1.0,832.0,5223.0,1951.0,813.7019230769231,0.0,37.3557349,-121.8541929,0,0,0,1,0
111,113,2021-04-09,Single Family Residential,95122,930000.0,3.0,2.0,1062.0,7318.0,1978.0,875.7062146892655,0.0,37.3485978,-121.827192,0,0,0,1,0
112,114,2020-05-01,Condo/Co-op,95110,735000.0,2.0,2.0,1133.0,0.0,2005.0,648.7202118270079,490.0,37.3632772,-121.9147088,0,0,0,0,0
113,115,2019-07-08,Single Family Residential,95112,1110000.0,5.0,2.0,1892.0,6428.0,1914.0,586.6807610993658,0.0,37.3426708,-121.8817208,0,0,0,1,0
114,116,2020-05-08,Single Family Residential,95125,1460000.0,4.0,3.5,2274.0,5337.0,1912.0,642.0404573438874,0.0,37.3154277,-121.8949709,0,0,0,1,0
115,117,2019-07-01,Condo/Co-op,95131,1190000.0,3.0,3.5,1718.0,621.0,2015.0,692.6658905704307,275.0,37.379551,-121.896238,0,0,0,0,0
116,118,2021-03-22,Condo/Co-op,95135,800000.0,2.0,2.0,1037.0,0.0,1999.0,771.4561234329798,250.0,37.3093633,-121.7560962,0,0,0,0,0
117,119,2020-08-25,Townhouse,95126,975000.0,4.0,2.5,1650.0,555.0,2005.0,590.9090909090909,350.0,37.327528,-121.904881,0,0,0,0,1
118,120,2019-07-17,Single Family Residential,95117,1220000.0,3.0,3.0,1766.0,7956.0,1948.0,690.8267270668176,0.0,37.3151325,-121.9522659,0,0,0,1,0
119,121,2020-11-20,Single Family Residential,95127,935000.0,4.0,2.5,1722.0,3022.0,1996.0,542.9732868757259,120.0,37.3767017,-121.8264802,0,0,0,1,0
120,122,2019-06-17,Single Family Residential,95122,750000.0,3.0,2.0,1121.0,5743.0,1959.0,669.0454950936663,0.0,37.3308029,-121.8370234,0,0,0,1,0
121,123,2019-05-24,Townhouse,95128,985000.0,2.0,2.5,1259.0,908.0,1981.0,782.3669579030977,370.0,37.3150783,-121.9466781,0,0,0,0,1
122,124,2020-03-10,Townhouse,95126,1350000.0,3.0,2.5,1859.0,1431.0,2002.0,726.1968800430338,385.0,37.328257,-121.9055323,0,0,0,0,1
123,125,2019-05-03,Single Family Residential,95128,1478000.0,3.0,2.0,1920.0,9072.0,1950.0,769.7916666666666,0.0,37.3328346,-121.9467555,0,0,0,1,0
124,126,2021-03-24,Single Family Residential,95128,1661888.0,4.0,2.0,1584.0,5706.0,1950.0,1049.171717171717,0.0,37.3312542,-121.9448891,0,0,0,1,0
125,127,2020-11-09,Multi-Family (5+ Unit),95128,2075000.0,6.0,8.0,3640.0,5924.0,1959.0,570.054945054945,0.0,37.3266707,-121.9301338,0,0,1,0,0
126,128,2020-12-11,Single Family Residential,95128,1300000.0,3.0,3.5,1742.0,6294.0,2018.0,746.2686567164179,0.0,37.3206199,-121.923049,0,0,0,1,0
127,129,2020-08-03,Single Family Residential,95128,915000.0,2.0,1.5,1164.0,6528.0,1952.0,786.0824742268042,0.0,37.3158549,-121.9202217,0,0,0,1,0
128,130,2020-09-22,Single Family Residential,95129,2300000.0,5.0,3.0,3129.0,6000.0,1964.0,735.0591243208693,0.0,37.312772,-121.9933853,0,0,0,1,0
129,131,2021-01-13,Townhouse,95129,1150000.0,3.0,2.0,1230.0,1264.0,1972.0,934.959349593496,370.0,37.3168948,-121.9825979,0,0,0,0,1
130,132,2020-07-15,Townhouse,95129,936000.0,2.0,2.0,933.0,2234.0,1974.0,1003.2154340836013,355.0,37.3165282,-121.979725,0,0,0,0,1
131,134,2019-05-24,Townhouse,95129,1351000.0,4.0,2.5,1489.0,2052.0,1974.0,907.3203492276696,350.0,37.3173898,-121.9798582,0,0,0,0,1
132,135,2020-02-28,Condo/Co-op,95129,585000.0,2.0,1.0,924.0,0.0,1970.0,633.1168831168832,445.0,37.3201139,-121.9814798,0,0,0,0,0
133,136,2019-12-13,Condo/Co-op,95129,540000.0,2.0,1.5,1099.0,550.0,1970.0,491.3557779799818,445.0,37.3201139,-121.9814798,0,0,0,0,0
134,138,2019-05-30,Single Family Residential,95117,1270000.0,3.0,2.0,1250.0,6013.0,1953.0,1016.0,0.0,37.3271161,-121.9537768,0,0,0,1,0
135,139,2019-09-10,Single Family Residential,95050,945000.0,3.0,1.0,1016.0,6299.0,1954.0,930.1181102362204,0.0,37.330199,-121.956481,0,0,0,1,0
136,140,2019-11-04,Single Family Residential,95125,2049000.0,4.0,2.5,2550.0,10866.0,1900.0,803.5294117647059,0.0,37.2992086,-121.9040405,0,0,0,1,0
137,141,2019-10-11,Single Family Residential,95129,1875000.0,3.0,2.0,1430.0,6615.0,1960.0,1311.188811188811,0.0,37.2981666,-122.0136171,0,0,0,1,0
138,142,2019-07-31,Single Family Residential,95129,1900000.0,4.0,2.0,1416.0,5896.0,1960.0,1341.8079096045199,0.0,37.3002305,-122.0137504,0,0,0,1,0
139,143,2020-12-07,Single Family Residential,95128,1205000.0,4.0,3.0,1662.0,5943.0,1955.0,725.0300842358604,0.0,37.3063983,-121.9281781,0,0,0,1,0
140,145,2020-12-23,Condo/Co-op,95116,500000.0,2.0,2.0,849.0,0.0,1984.0,588.9281507656066,312.0,37.3529297,-121.8721001,0,0,0,0,0
141,146,2020-11-30,Single Family Residential,95116,785000.0,3.0,1.0,905.0,7754.0,1948.0,867.4033149171271,0.0,37.3531608,-121.8607753,0,0,0,1,0
142,147,2020-02-18,Condo/Co-op,95116,556000.0,2.0,2.0,849.0,1120.0,1984.0,654.8881036513545,312.0,37.352111,-121.872289,0,0,0,0,0
143,148,2020-07-22,Condo/Co-op,95116,490000.0,2.0,2.0,849.0,0.0,1984.0,577.1495877502945,373.0,37.3522109,-121.871965,0,0,0,0,0
144,149,2021-01-12,Single Family Residential,95116,1100000.0,4.0,3.0,2041.0,4312.0,2006.0,538.9514943655071,117.0,37.3394611,-121.863844,0,0,0,1,0
145,150,2020-12-31,Single Family Residential,95126,1825000.0,3.0,2.5,2112.0,10158.0,1929.0,864.1098484848485,0.0,37.3383372,-121.9184437,0,0,0,1,0
146,151,2020-12-07,Single Family Residential,95116,638000.0,2.0,1.0,690.0,4949.0,1926.0,924.6376811594203,0.0,37.3425835,-121.8637106,0,0,0,1,0
147,152,2019-08-27,Single Family Residential,95116,700000.0,3.0,1.0,1255.0,7956.0,1920.0,557.7689243027888,0.0,37.3416214,-121.8684247,0,0,0,1,0
148,153,2020-11-19,Single Family Residential,95112,1065000.0,3.0,2.5,1689.0,2800.0,1998.0,630.550621669627,108.0,37.342855,-121.8743392,0,0,0,1,0
149,157,2020-06-26,Single Family Residential,95129,3700000.0,6.0,4.5,4956.0,10916.0,2003.0,746.5698143664246,0.0,37.3093457,-122.0279393,0,0,0,1,0
150,158,2019-10-01,Single Family Residential,95129,2550000.0,4.0,3.5,2429.0,7105.0,2007.0,1049.8147385755456,0.0,37.30803,-122.0260742,0,0,0,1,0
151,159,2020-03-24,Condo/Co-op,95129,1350000.0,2.0,2.0,1045.0,1156.0,1992.0,1291.866028708134,468.0,37.30908,-122.031395,0,0,0,0,0
152,160,2020-03-17,Single Family Residential,95129,1960000.0,3.0,2.0,1497.0,6010.0,1956.0,1309.2852371409485,0.0,37.3077889,-122.0268735,0,0,0,1,0
153,161,2020-09-30,Condo/Co-op,95128,745000.0,2.0,2.0,1104.0,1104.0,1986.0,674.8188405797101,475.0,37.315755,-121.946389,0,0,0,0,0
154,162,2020-09-09,Condo/Co-op,95131,682000.0,2.0,2.0,1080.0,0.0,1997.0,631.4814814814815,353.0,37.38691,-121.8879342,0,0,0,0,0
155,163,2020-11-30,Single Family Residential,95131,1375565.0,3.0,2.5,1630.0,3522.0,1989.0,843.9049079754601,0.0,37.3843311,-121.8876346,0,0,0,1,0
156,164,2020-05-18,Condo/Co-op,95131,660000.0,1.0,1.5,1415.0,0.0,2007.0,466.43109540636044,381.0,37.390854,-121.890128,0,0,0,0,0
157,165,2020-10-09,Single Family Residential,95131,1488000.0,4.0,2.5,2175.0,4035.0,1991.0,684.1379310344828,0.0,37.3823836,-121.8913695,0,0,0,1,0
158,166,2019-09-27,Mobile/Manufactured Home,95112,193000.0,2.0,1.0,550.0,0.0,1966.0,350.90909090909093,0.0,37.3745175,-121.8918448,1,0,0,0,0
159,167,2019-07-23,Townhouse,95131,1130000.0,3.0,2.5,1666.0,2565.0,1992.0,678.2713085234094,262.0,37.3827835,-121.88976,0,0,0,0,1
160,169,2020-07-28,Single Family Residential,95131,1250000.0,3.0,3.0,1775.0,1700.0,2014.0,704.2253521126761,85.0,37.3725892,-121.8799755,0,0,0,1,0
161,170,2020-09-09,Single Family Residential,95131,1175000.0,4.0,2.5,1599.0,4639.0,1985.0,734.8342714196373,0.0,37.376736,-121.8785192,0,0,0,1,0
162,171,2021-01-22,Condo/Co-op,95131,715000.0,2.0,2.0,1093.0,0.0,1987.0,654.1628545288197,414.0,37.381274,-121.885028,0,0,0,0,0
