SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-9-2019,Single Family Residential,473 N 20th St,SAN JOSE,CA,95112,738888,2,1.0,SAN JOSE,840,5455,1949,502,880,,Sold,,,http://www.redfin.com/CA/San-Jose/473-N-20th-St-95112/home/1775329,MLSListings,ML81770894,N,Y,37.353165,-121.8778077
PAST SALE,March-6-2020,Single Family Residential,432 Terrace Dr,SAN JOSE,CA,95112,1050000,3,2.0,SAN JOSE,1234,10574,1949,414,851,,Sold,,,http://www.redfin.com/CA/San-Jose/432-Terrace-Dr-95112/home/1377802,MLSListings,ML81782036,N,Y,37.3534948,-121.8748284
PAST SALE,September-16-2019,Single Family Residential,872 E Saint James St,SAN JOSE,CA,95112,1080000,3,2.0,SAN JOSE,1713,4073,1930,586,630,,Sold,,,http://www.redfin.com/CA/San-Jose/872-E-St-James-St-95112/home/1358261,MLSListings,ML81759471,N,Y,37.3472137,-121.8750952
PAST SALE,July-21-2020,Single Family Residential,1580 Oneco Ct,SAN JOSE,CA,95131,980000,3,2.5,SAN JOSE,1352,2830,1987,277,725,60,Sold,,,http://www.redfin.com/CA/San-Jose/1580-Oneco-Ct-95131/home/914821,MLSListings,ML81796221,N,Y,37.3918932,-121.8768294
PAST SALE,,Single Family Residential,1932 Camargo Dr,San Jose,CA,95132,900000,4,2.0,,1806,6301,1970,,498,,,,,http://www.redfin.com/CA/San-Jose/1932-Camargo-Dr-95132/home/1682703,,,N,Y,37.4082143,-121.8750062
PAST SALE,August-6-2020,Single Family Residential,2759 Babe Ruth Dr,San Jose,CA,95132,1150000,3,2.0,Berryessa,1298,6000,1973,261,886,,Sold,,,http://www.redfin.com/CA/San-Jose/2759-Babe-Ruth-Dr-95132/home/1406583,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40911025,N,Y,37.4041658,-121.874606
PAST SALE,May-15-2020,Condo/Co-op,517 Sage Ct,MILPITAS,CA,95035,1105400,3,3.0,MILPITAS,1727,,2020,344,640,325,Sold,,,http://www.redfin.com/CA/Milpitas/517-Sage-Ct-95035/home/170123680,MLSListings,ML81777435,N,Y,37.4058672,-121.8907018
PAST SALE,October-21-2020,Condo/Co-op,1888 Joshua Tree Cir,Milpitas,CA,95035,1030100,3,3.0,Parkside,1454,,2020,185,708,325,Sold,,,http://www.redfin.com/CA/Milpitas/1888-Joshua-Tree-Cir-95035/home/171232460,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904167,N,Y,37.4067449,-121.8905114
PAST SALE,,Single Family Residential,623 Bonaccorso Pl,San Jose,CA,95133,375000,3,2.0,,1449,8120,1968,,259,,,,,http://www.redfin.com/CA/San-Jose/623-Bonaccorso-Pl-95133/home/1618076,,,N,Y,37.3769998,-121.8475656
PAST SALE,August-12-2020,Single Family Residential,2848 Mayglen Way,SAN JOSE,CA,95133,1115000,3,2.0,SAN JOSE,1400,5995,1969,255,796,,Sold,,,http://www.redfin.com/CA/San-Jose/2848-Mayglen-Way-95133/home/1841815,MLSListings,ML81800586,N,Y,37.3797088,-121.846676
PAST SALE,November-15-2019,Single Family Residential,781 Clearview Dr,SAN JOSE,CA,95133,850000,3,3.0,SAN JOSE,1746,3833,1979,526,487,145,Sold,,,http://www.redfin.com/CA/San-Jose/781-Clearview-Dr-95133/home/1553417,MLSListings,ML81771375,N,Y,37.3805344,-121.8501899
PAST SALE,September-10-2019,Single Family Residential,2771 Rainfield Dr,SAN JOSE,CA,95133,833000,3,2.0,SAN JOSE,1146,4103,1981,592,727,,Sold,,,http://www.redfin.com/CA/San-Jose/2771-Rainfield-Dr-95133/home/1539156,MLSListings,ML81760018,N,Y,37.3762359,-121.845475
PAST SALE,,Single Family Residential,1497 Hermocilla Way,San Jose,CA,95116,778000,3,2.5,,1338,1984,1998,,581,,,,,http://www.redfin.com/CA/San-Jose/1497-Hermocilla-Way-95116/home/1686752,,,N,Y,37.3440594,-121.8533923
PAST SALE,October-2-2020,Multi-Family (2-4 Unit),1618 Virginia Ave,SAN JOSE,CA,95116,1450000,10,,SAN JOSE,3859,6389,1962,204,376,,Sold,,,http://www.redfin.com/CA/San-Jose/1618-Virginia-Ave-95116/home/1347473,MLSListings,ML81792524,N,Y,37.3436266,-121.8495672
PAST SALE,June-19-2020,Single Family Residential,1829 Lavonne Ave,SAN JOSE,CA,95116,752000,3,2.0,SAN JOSE,1206,7803,1948,309,624,,Sold,,,http://www.redfin.com/CA/San-Jose/1829-Lavonne-Ave-95116/home/1181003,MLSListings,ML81785793,N,Y,37.3456504,-121.8456974
PAST SALE,July-8-2020,Single Family Residential,203 Sedona Pl,SAN JOSE,CA,95116,900000,4,2.5,SAN JOSE,2104,2232,2007,290,428,193,Sold,,,http://www.redfin.com/CA/San-Jose/203-Sedona-Pl-95116/home/17292621,MLSListings,ML81788600,N,Y,37.3483317,-121.8548156
PAST SALE,September-3-2020,Single Family Residential,214 Sedona Pl,SAN JOSE,CA,95116,928000,4,2.5,SAN JOSE,2104,2155,2007,233,441,193,Sold,,,http://www.redfin.com/CA/San-Jose/214-Sedona-Pl-95116/home/17292617,MLSListings,ML81801533,N,Y,37.3484807,-121.8541929
PAST SALE,March-4-2020,Single Family Residential,1206 Sunny Ct,SAN JOSE,CA,95116,580000,2,1.0,SAN JOSE,938,5569,1979,416,618,,Sold,,,http://www.redfin.com/CA/San-Jose/1206-Sunny-Ct-95116/home/875663,MLSListings,ML81779376,N,Y,37.3418634,-121.8584626
PAST SALE,,Condo/Co-op,772 Bonita Ave,San Jose,CA,95116,515000,2,2.0,,1010,,2005,,510,,,,,http://www.redfin.com/CA/San-Jose/772-Bonita-Ave-95116/home/1052974,,,N,Y,37.340337,-121.854674
PAST SALE,November-27-2019,Townhouse,780 Bonita Ave,SAN JOSE,CA,95116,540000,2,2.0,SAN JOSE,1010,551,2005,514,535,240,Sold,,,http://www.redfin.com/CA/San-Jose/780-Bonita-Ave-95116/home/1052655,MLSListings,ML81758640,N,Y,37.340304,-121.854649
PAST SALE,November-27-2019,Multi-Family (2-4 Unit),1641 Virginia Ave,SAN JOSE,CA,95116,1650000,10,,SAN JOSE,3859,6004,1962,514,428,,Sold,,,http://www.redfin.com/CA/San-Jose/1641-Virginia-Ave-95116/home/882650,MLSListings,ML81776414,N,Y,37.3442304,-121.8494337
PAST SALE,September-24-2019,Condo/Co-op,1670 Los Suenos Ave,SAN JOSE,CA,95116,640000,3,2.5,SAN JOSE,1254,2240,1995,578,510,180,Sold,,,http://www.redfin.com/CA/San-Jose/1670-Los-Suenos-Ave-95116/home/1124966,MLSListings,ML81760633,N,Y,37.3456142,-121.849834
PAST SALE,June-14-2019,Condo/Co-op,755 Bonita Pl,SAN JOSE,CA,95116,550000,2,2.0,SAN JOSE,1010,700,2005,680,545,240,Sold,,,http://www.redfin.com/CA/San-Jose/755-Bonita-Pl-95116/home/1630805,MLSListings,ML81726415,N,Y,37.340989,-121.85466
PAST SALE,May-1-2019,Single Family Residential,1644 Troon Dr,SAN JOSE,CA,95116,839000,3,2.5,SAN JOSE,1491,2904,1998,724,563,75,Sold,,,http://www.redfin.com/CA/San-Jose/1644-Troon-Dr-95116/home/885301,MLSListings,ML81739970,N,Y,37.3465704,-121.8524138
PAST SALE,May-27-2020,Single Family Residential,1194 Winslow Dr,SAN JOSE,CA,95122,830000,4,2.0,SAN JOSE,1151,6161,1979,332,721,,Sold,,,http://www.redfin.com/CA/San-Jose/1194-Winslow-Dr-95122/home/1121086,MLSListings,ML81790361,N,Y,37.3311653,-121.8491224
PAST SALE,August-19-2020,Multi-Family (2-4 Unit),1412 Carnelian Dr,SAN JOSE,CA,95122,1400000,8,,SAN JOSE,3214,6302,1962,248,436,,Sold,,,http://www.redfin.com/CA/San-Jose/1412-Carnelian-Dr-95122/home/1550384,MLSListings,ML81792432,N,Y,37.3312307,-121.8461422
PAST SALE,October-25-2019,Mobile/Manufactured Home,1448 Sunshade Ln #1448,SAN JOSE,CA,95122,175000,3,2.0,SAN JOSE,1440,,1979,547,122,,Sold,,,http://www.redfin.com/CA/San-Jose/1448-Sunshade-Ln-95122/unit-1448/home/167173444,MLSListings,ML81759129,N,Y,37.3334607,-121.8479583
PAST SALE,September-11-2020,Single Family Residential,1631 Santee Dr,SAN JOSE,CA,95122,740000,3,2.0,SAN JOSE,1204,6273,1962,225,615,,Sold,,,http://www.redfin.com/CA/San-Jose/1631-Santee-Dr-95122/home/876929,MLSListings,ML81806887,N,Y,37.3280308,-121.8456529
PAST SALE,March-11-2020,Single Family Residential,1599 Terilyn Ave,SAN JOSE,CA,95122,775000,4,2.0,SAN JOSE,1240,5660,1959,409,625,,Sold,,,http://www.redfin.com/CA/San-Jose/1599-Terilyn-Ave-95122/home/1496148,MLSListings,ML81781086,N,Y,37.3309327,-121.8417386
PAST SALE,September-9-2019,Single Family Residential,1514 Terilyn Ave,SAN JOSE,CA,95122,550000,3,1.0,SAN JOSE,960,5253,1959,593,573,,Sold,,,http://www.redfin.com/CA/San-Jose/1514-Terilyn-Ave-95122/home/1475853,MLSListings,ML81767876,N,Y,37.332522,-121.8425837
PAST SALE,March-13-2020,Single Family Residential,1173 Creston Ln,SAN JOSE,CA,95122,825000,3,2.0,SAN JOSE,1068,6220,1979,407,772,,Sold,,,http://www.redfin.com/CA/San-Jose/1173-Creston-Ln-95122/home/1518481,MLSListings,ML81781570,N,Y,37.3303638,-121.8497896
PAST SALE,,Single Family Residential,2162 Lakewood Ct,San Jose,CA,95132,1025000,4,2.0,,1408,6162,1964,,728,,,,,http://www.redfin.com/CA/San-Jose/2162-Lakewood-Ct-95132/home/1651126,,,N,Y,37.4098476,-121.8820765
PAST SALE,August-23-2019,Single Family Residential,2929 Via Encinitas,SAN JOSE,CA,95132,1075000,5,2.5,SAN JOSE,2002,6213,1969,610,537,,Sold,,,http://www.redfin.com/CA/San-Jose/2929-Via-Encinitas-95132/home/1461755,MLSListings,ML81745308,N,Y,37.4092661,-121.8770073
PAST SALE,October-23-2020,Single Family Residential,1712 Feasel Ct,SAN JOSE,CA,95131,1570000,5,3.0,SAN JOSE,2464,3790,1997,183,637,,Sold,,,http://www.redfin.com/CA/San-Jose/1712-Feasel-Ct-95131/home/580057,MLSListings,ML81811680,N,Y,37.3884675,-121.8981276
PAST SALE,January-22-2020,Townhouse,1856 Elk Grove Lndg,SAN JOSE,CA,95131,888888,2,2.5,SAN JOSE,1181,962,1995,458,753,297,Sold,,,http://www.redfin.com/CA/San-Jose/1856-Elk-Grove-Lndg-95131/home/936824,MLSListings,ML81779884,N,Y,37.385936,-121.8959769
PAST SALE,August-12-2019,Condo/Co-op,1266 Oregold Pl,SAN JOSE,CA,95131,640000,2,2.0,SAN JOSE,1073,,1993,621,596,265,Sold,,,http://www.redfin.com/CA/San-Jose/1266-Oregold-Pl-95131/home/1828451,MLSListings,ML81737508,N,Y,37.3862956,-121.8940375
PAST SALE,June-7-2019,Condo/Co-op,1354 Tea Rose Cir,SAN JOSE,CA,95131,749888,2,2.0,SAN JOSE,1006,1123,1993,687,745,265,Sold,,,http://www.redfin.com/CA/San-Jose/1354-Tea-Rose-Cir-95131/home/690852,MLSListings,ML81744326,N,Y,37.3877494,-121.8939934
PAST SALE,March-20-2020,Single Family Residential,1053 Mckay Dr,SAN JOSE,CA,95131,1260000,3,2.5,SAN JOSE,1767,2783,1999,400,713,50,Sold,,,http://www.redfin.com/CA/San-Jose/1053-McKay-Dr-95131/home/692324,MLSListings,ML81787428,N,Y,37.3874266,-121.8962158
PAST SALE,,Condo/Co-op,1053 Dewberry Pl #203,San Jose,CA,95131,1200000,3,3.0,,2131,,2014,,563,,,,,http://www.redfin.com/CA/San-Jose/1053-Dewberry-Pl-95131/unit-203/home/95957586,,,N,Y,37.380174,-121.897492
PAST SALE,November-5-2020,Condo/Co-op,1951 Dobbin Dr,SAN JOSE,CA,95133,890000,3,2.0,SAN JOSE,1516,532,2017,170,587,244,Sold,,,http://www.redfin.com/CA/San-Jose/1951-Dobbin-Dr-95133/home/143043510,MLSListings,ML81801358,N,Y,37.367049,-121.86405
PAST SALE,June-18-2020,Condo/Co-op,1955 Dobbin Dr,San Jose,CA,95133,820000,2,2.0,Berryessa,1299,886,2017,310,631,244,Sold,,,http://www.redfin.com/CA/San-Jose/1955-Dobbin-Dr-95133/home/143043509,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904907,N,Y,37.3670443,-121.8640288
PAST SALE,October-9-2020,Single Family Residential,1824 Pine Hollow Cir,SAN JOSE,CA,95133,1060000,4,2.0,SAN JOSE,1395,5000,1980,197,760,,Sold,,,http://www.redfin.com/CA/San-Jose/1824-Pine-Hollow-Cir-95133/home/1175945,MLSListings,ML81808840,N,Y,37.3686223,-121.8633548
PAST SALE,October-21-2019,Condo/Co-op,1873 Midnight Cir,SAN JOSE,CA,95133,748000,2,2.0,SAN JOSE,1391,1999,2016,551,538,258,Sold,,,http://www.redfin.com/CA/San-Jose/1873-Midnight-Cir-95133/home/143042039,MLSListings,ML81768184,N,Y,37.3674729,-121.8661496
PAST SALE,April-22-2020,Condo/Co-op,1929 Mahuron Cir,SAN JOSE,CA,95133,870000,2,2.0,SAN JOSE,1299,,2017,367,670,244,Sold,,,http://www.redfin.com/CA/San-Jose/1929-Mahuron-Cir-95133/unit-CL/home/143043528,MLSListings,ML81785624,N,Y,37.367185,-121.864315
PAST SALE,August-18-2020,Condo/Co-op,1886 Midnight Cir,SAN JOSE,CA,95133,840000,2,2.0,SAN JOSE,1130,,2016,249,743,244,Sold,,,http://www.redfin.com/CA/San-Jose/1886-Midnight-Cir-95133/home/143043456,MLSListings,ML81795853,N,Y,37.3670317,-121.866215
PAST SALE,October-8-2020,Condo/Co-op,1923 Dobbin Dr,SAN JOSE,CA,95133,906000,3,3.0,SAN JOSE,1667,,2017,198,543,270,Sold,,,http://www.redfin.com/CA/San-Jose/1923-Dobbin-Dr-95133/home/143043517,MLSListings,ML81808163,N,Y,37.366913,-121.864254
PAST SALE,July-10-2020,Townhouse,1842 Midnight Cir,San Jose,CA,95133,980000,4,3.5,North Valley,1714,1368,2016,288,572,244,Sold,,,http://www.redfin.com/CA/San-Jose/1842-Midnight-Cir-95133/home/143042056,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904684,N,Y,37.3672904,-121.8664791
PAST SALE,,Condo/Co-op,1777 Schulte Dr,San Jose,CA,95133,550000,2,1.0,,908,,1988,,606,,,,,http://www.redfin.com/CA/San-Jose/1777-Schulte-Dr-95133/home/699577,,,N,Y,37.3626173,-121.8613671
PAST SALE,November-19-2019,Single Family Residential,1737 Creekstone Cir,SAN JOSE,CA,95133,750000,3,2.5,SAN JOSE,1423,3826,1983,522,527,102,Sold,,,http://www.redfin.com/CA/San-Jose/1737-Creekstone-Cir-95133/home/704257,MLSListings,ML81770909,N,Y,37.368476,-121.867853
PAST SALE,February-4-2020,Single Family Residential,1258 Briarcreek Ct,SAN JOSE,CA,95131,1330000,4,2.5,SAN JOSE,1757,4029,1985,445,757,,Sold,,,http://www.redfin.com/CA/San-Jose/1258-Briarcreek-Ct-95131/home/1681454,MLSListings,ML81777893,N,Y,37.3777248,-121.8792307
PAST SALE,April-6-2020,Condo/Co-op,30 E Julian St #309,SAN JOSE,CA,95112,829000,2,2.0,SAN JOSE,1271,,2000,383,652,563,Sold,,,http://www.redfin.com/CA/San-Jose/30-E-Julian-St-95112/unit-309/home/1086202,MLSListings,ML81784105,N,Y,37.3405593,-121.8929592
PAST SALE,,Vacant Land,117 N 5th St,San Jose,CA,95112,2500000,,,,,10519,,,,,,,,http://www.redfin.com/CA/San-Jose/117-N-5th-St-95112/home/40279064,,,N,Y,37.339803,-121.888025
PAST SALE,November-4-2019,Single Family Residential,456 N 3rd St,SAN JOSE,CA,95112,1930000,5,6.5,SAN JOSE,3619,6348,1890,537,533,,Sold,,,http://www.redfin.com/CA/San-Jose/456-N-3rd-St-95112/home/1641888,MLSListings,ML81761440,N,Y,37.3449159,-121.8939039
